userId,username,following_count,followers_count,following_list
1067259270,google,34,13733489,"googlepixel_us, googleworkspace, googleplay, youtubemusic, googlepay, googleforcreators, youtubebrasil, googlebrasil, youtubespace, theteamatx, waze, googlestadia, googleforstartupsbrazil, googledesign, googleatap, googleforstartups, googledevs, womenwill, googleindia, waymo, googlecloud, googlelocalguides, googlepixel, madebygoogle, sundarpichai, lifeatgoogle, googlestudents, android, googleartsculture, googlesciencefair, googlenest, madewithcode, youtube, googlemaps"
2248835396,sugab.3gp,920,543,"jennierubyjane, redvelvet.smtown, chaeyo.0, itzy.all.in.us, sooyaaa__, m.by__sana, dahhyunnee, yerimiese, momo, auliarismap, dlwlrma, _zyozyo, notsochadkyne, aespa_official, twicetagram, honey.iaaa, _imyour_joy, erliyn6_, thinkaboutzu, unstp.able, aku.ginanjar, nayeonyny, secretnumber.official, mina_sr_my, dztrafh_, hi_sseulgi, todayis_wendy, jokowi, egitaa15, ghazzancgirisaa, atah.iq, yatatazza, detikcom, my_songjihyo, lambe_turah, donte.id, itsmarsel_, wiwinnap26, atiqarjunn, alga_alfaraa, jy_piece, ganjar_pranowo, ama.lia262, pokemonloverssemarang, farhanhisyam_, renebaebae, google, bagasmn11, sanjayaariski, messeserez, pokemon, ariqnoor_ir, laras_kp, lilasikuta, annisahseptiana, i.yazzzz, ikaaa.pjw, genshinimpact, ditarajen, nadsychrn, aizngrh_, muhamka_, wm.galih, _mochss, nandispta_, skybundle20, aldinn.4, growthacker.id, satupersenofficial, chrlanmdn, annisaluthfii_, jakarta.keras, meep_tersans, tri.wahyunn, heykidsitsgladis, silvin_izza, faisalllam, prakerja.go.id, rusnitt_, lokersemarangan.id, kai121_, liaeka_n, zonamahasiswa.id, rafiirohmat, saefudin_fth, najwashihab, kholan_elsci27, diasok___, muhizra, diessainsdataittp, yuan_widya, eevncnt, yusuftaqiyuddin, kokbisa, bikinis_kinis_, ditjen.dikti, pixeladdy, abidil_lah, zihanalgani, zahraeta.ar, folkative, ploynarinn, anyageraldine, aleeyakareen, __anitach, wawangw_, mnhuda811, rossss_kaa, kemenkes_ri, eventmahasiswa3, thinkaboutzul10, kejadiansmg, hololiveid_official, smanegeri1bumiayu, itaa.rmdn, tyaraarizky_, risealll, ussfeeds, pln_id, magangmerdeka, albifadjrin_, mirsnr, brin_indonesia, alismiarif, dza.muran, dagelan, volix.media, infolomba, bisa.ai, airones.store, alfidians_, xlisa_olivex, fitrahrkg, setaaaww, kemdikbud.ri, cgv.id, pixselacademy, mohammad_miftakhur_rozaq, setwn.f, wiro_so, schoters, _hakkencoser_, soca_ai, itb1920, python.hub, javascript.js, tirtoid, ivenatiaraa, komunitas_excel_indonesia, ichsanlfiant, magangupdate, dicoding, buildwithangga, pakubumi.jpg, anakmagang.id, _aaryaagamp, instabumiayu, asih572, revou_id, isfest_umn, davie504, milarosantia, rafiadipramana, meaningful.me, thedankoe, dtsfga.id, devilindaamalia, viitaa.pr, infia_techno, khoirudin_76, mhmmd.aminudin, ferry.nugroho, rifkaap_08, dandysenpai, sherrymoe_, alfinaanm, therichgum_gt, choiruzziaaa, math.qna, dishubkotasmg, ahmdirvn__, majalabs_xyz, aukitika, kamivokasi, rizkk_s, saya.ata3, idcamp, acarakampus.official, molafest22, dhimasnrm, codechips, designonphone, cumimakantahu, vigopramana_, genshinmemes, dipasomnia, digitalent.kominfo, kampusmerdeka.ri, lusiiand, sarahvilo.id, orbitfutureacademyid, afridyana, ewkharis, anakteknikindo, cari_lomba, magangmerdekahub, polinesofficial, kemenkominfo, adindaanp_, belajarcarabelajar, mpmbkm.polines, axelbrilian_07, yantilim7.gt, aauliahmta, khart.id, loker.programmer, gdsc.polines, dwi_irwann, indonesia.ai, uiuxbunker, growtopia, jkt48shani, narasiodata, divariotaufiq, maherdaiqlal, wisatasemarang, jadihacker.id, kesdm, feliyymoon, salsifazkia, lemaribekas.smg, 7993.aji_, dqlab, toh_a10, pemirapolines, faixvey, rut_mega, pythoncodess, idcloudhost, internship.time, milenialslide, pertukaranmahasiswamerdeka, mnaufal_syarif, fahrezy010, bipakemdikbud, adisstii_, sanbercode, kobokanaeru, m.fauti, kaaicloud, fzull15_, achsofyannn, jkt48.fiony, tulliptull, rie_rabbit, synapsis.id, melfanza, salsabilanauli, introvert_by, diktivokasi, majeliskucing.id, zafransabda_, fashihaljinan, soalevent, rubrikgrafis, ntnoctavia, myhoneststudyblr, wegodevindonesia, gdsc.udinus, divatrd, sultanshidqii, its_campus, usmjayafm, zweedica._, yunis_you30, ftrdpryni, lintang.amarull, visiteastjava, 0h.whee_, syaffa_amf, mulyan70, gdscindonesia, studytipd, startupcampus.id, anrizprtm, eventpelajar, haidaryqat, gorogo0708, moonahoshinova, riopurbaid, event.tik, dunialomba, rdn.rizqi_h, bramantyoas, abhishvek, kampusmerdekabankindonesia, syammasfitria, duniacoding, googleindonesia, bem_polines, merdekapelajar_ri, veryvinca, sanimuhajir, alien_wgti, elisadputrii, _daaputri, windahbasudara, alvisyhrn, workshop.chan, madingevent.id, sultansyaafiq, penseepis, bnsp_official, suhaaan.alf, tiarasucirismawati, dhiniinyti_2, ugm.yogyakarta, thanyawee_, azulacann, nabilafrida_, info.lomba.beasiswa, awwalun_, virlie.mnl, anisza.5sr, events.ina, hisugab.store, seputargame, gebiann, sltanshidqi, nore.web.id, 23.02site, teropongpengetahuan, punipun7, yosktvia, ameliandanii, genshinbuild.id, kkoesuma_, genshinpost, rajafaa, ngoding_python, dkksemarang, dickywp_, explorerbumiayu, tempatmagang_, mughis1105, fatkhurrahman.exe, anarizmu_29, kadekaldoo, study_latte_, wulantrii__, duatujuhitsme, studywithara, lombarobot.id, ryndtyx_, iam_fahrul14, rahmashina, shadeofacat, celine.chenzw, insta_bumiayu, updatelomba.id, taniyacodes, biasalahanakmuda, donyset_, akmeliaaz_, giignnn, nabilaaprikarnin, dindaaini__, moefala, bearable_studying, cocotetegal, semarangpemkot, ibuiramira, sayabetter, nikkirhmaa_, informatika_polines, secoma_polines, stnrkhmidah25_, napikoo, gamelab.id, davawiagam, ziddann28, eventkampus.co, adinoeld, alignleft_, datascienceindo, kekegeniouz, aileduoaliga, dinasaurus7, ferliiidr, dzulfahmiirfan, ayyaaqiilah_, duniiaaislam, rhesifaazkila, sre_polines, daffa_fian22, idol.semarang, affida13_, jkt48gracia, gamerkantoran.id, seputarsemarang, ekagustiwana, infomahasiswaindonesia, badramzy.a, compfest, aflaha67, aryawisnusptr, laras18_, davidalfasunarna, puspresnas, miss.excel, undip.official, hanung_anjas, try.catch.developer, dhimsxtya, bemui_official, apr_risha, sanberhub, komunitassenipolines, inibumiayu, nabilafrda, lablab.ai, arduino.cc, himailkomunnes, dtsproa.id, anggarfldyp, renditahastian, codewithfred, mediaevent_, gigihw810, teamalgoritma, rolanf_rmdhn, kafi_zm, polibatamofficial, sherlyra1114, photoshop_indonesia, agasi_hs29, micho.bakery, ghosty_comic, azizzgun, farkhanyazidd, avocado_harbinger, techareacoid, poltekkessemarang, skuygrafer, irich_undip, muh.vico, bemftundip, pccsolution, pp_techcomfest, thecyberkarta, azuralabs.id, steven.ageee, pustekkom_kemdikbud, ilhaamazar, alfian.fafa, vickymunaa_, _ryznws, bigdataqueen, ltmptofficial, intanhtj_, gustavfbp_, warstek_com, bayu_successwedding, mfharyantooo, kamus.excel, robinrevises, pengrajin_bunyi, wipipao, fkhrrhmn, curhatanmahasiswa.id, bemsi.official, dickybw, jesselyn.mci8, eventcampus, nndslsa, galih_fauzan_07, as_ziyya, irwansight, viansoeta_, humanstats, tamariska_liv, alvin_aprianto911, kurohiko_id, frontendjoe, dewaweb, sobatlomba.id, mirhamu17.id, alvinur24, salsabillagusti, webdevlessons, 10arief_sant, goodnight_dreamcatcher, ldk_polines, aaidanh, gdsc.undip, violetachaitra, sportpolines, sferdinann, ifta.crn, rsabilda, kunwibisono7, rio_rizkey, raravalda, luthfihalimawan, evawardaaa, bitlabs.id, adirdk14, proyekminiku_22, ineshalidaa, fin.designn, athallahhm, sifla15, kesma.polines, lingbi.id, aisya_karima, mahasiswapolines, dewiiatiqoh, semnaselektropolines2022, llaurensius_, gilang_adhan, ngfayee, fakhri_ia, rofiaf_, teknik_informatika_, ryanarmandoo, gudang_laptop_semarang, wahyudotdev, rizkiadihdyt, ayase_0404, qhsnllyl, bermantio, fathmayuni, alfariorh, aldidarmawan_, brrmmas, itz.dhwx, fitriapriyaniii_, yohanaputrii_, risacomics, osissmansabum, cancreative, komikin_ajah, lomba_mahasiswa, fia.cho_, genshin_impact_world, salmaafdhila, pecc_polines, quippercampus, nexanet.id, kherulumm12, gdg.semarang, undip.cantik, masjidpolines, thecodecrumbs, dilayulianap, khomisahharyani, srjndtaa_, quotes.gti, silmidvra, ikyyrzpd_, evakhlftl_, jabarcodingcamp, fauzanjabir, ardylllaae, khawarizmi_sanjue, niissaa_salshabilla, dagelanphotoshop, flux.cup, vickaaziziah, _septiann3, febrianadwil_, pmbssemarang, sandhikagalih, collage.id, gabriel_alvito, irhamshani, lisanaaasa, namassist_, bayucahyaky_, lombapena.id, odeliadevara, ice.institute, polines_esport, okta_nafifah, growthwithmsib, newmeol18, aldyabdllh, aniiiii.i, kuyproduktiv, deavnoktfrdn, tika.isna.febriyanti, hmif_itb, dinaralydth, anis.anf, official_fkmpi, updatelombaevent, genshin.guider, fahima_nabila, amandaa_marsyaa, semarangpartime, dinialfiaani, cinepolisid, rrisa_da, lukiy.shaw, m_rizkynaufal, faktamw, politeknikahlinya, infolomba.mhs, erart_id, tarilestari_1, photoshop.shitposter, zamani_zaki, pokerize_id, jeaniceang, domainesia, dosen_bisnis, raisaarfiani, himaskomundip, silvangelpryn_, widyarobotics, sigit.berkarya, adelaapuspita, amaliaa_pdr, icaaa.rz_, id2store, shit_git, bahitaaaaa, revinsab_, rshdardnsyh, fkmpi_polines, techcomfest, nabiilahbk_, aulliiaaa_, jazirah_polines, fadly.rasyid_, bpmpolines, syafriarfn, kmipn2022, hmab_polines, andrigultom_, yudhhds, datasans, jepangmudah, kri2022.its, kuwatsantoso84, syivangel, kwu_polines, ashmaauliaa, kompetisimahasiswa, amstronaut.store, apriliadianpramesti, annovnt, alfino_almeros, pccstore, ekasetyanugraha, rakaminacademy, polirevo, vin.puttri, affiea_shio16, faniagstn_, ensipedia.gametech, gdsc.brawijaya, pcimmkotasemarang, kharismawrdn, fun_dii, _amutiarac, naelaixx_, dwiihsan_, akhmad_nwahd, dillarianna, winarwahyuw, indahhrhy__, san_rp.10, liaaws, muhammad_alfin_fata_mushafi, saniathh_, ardyassetyaa, know_datascience, himapolines, widiiiii1, bumischolar, squadxii5_, auliyades_, auladi.kr8s, pens_robotics_team, kotakode, rumahsandyakala, arikarisqi, gymchildstore, ardhi2002, info.event_, purakirana, a.syahbanur, dkvdaily, mohammadmahmoudigraphist, fkyallbye, ataraxtella, addi_candra, a.hnfnr, matanajwa, anisanxc11, pccpolines, ksrpmipolines, zzarrazx, riskamlnda_01, gunplasemarang, ntfndxhana, andinaaf7, pak_dimasw, skylarktech, taufiqalimn, kimetsunoyaiba, introvertgaul, gfxart.id, lpm_dimensi, iftinalintang, lampar_81, akupercaya_bumiemas.tanahairku, dragonhound999, fkbmik_upn, lombamahasiswa.id, hmspolines, fikawahyulestari, cmcpolines, pythonusant, dmsfznn, nisrinamayla123, daris_fian, rizaldirayhn, dheniwindop_, techtalkhq, anisya.rch, bumiayu_beauty_of_java, hanna.fasya, thalion_pb, zukhruffahaaliyah, jihadtjr, nryhmda_, seblakhuhah_smg, elzaffr, zeka_design, dliyaulaulia_, friciliayessi_, auliandr_20, akutau.official, chelsie.monica, flutteridn, nurulnrlh, mbintaangp, theflutterlover, nadyaabilhusnaa, infopoliteknik.id, genshinuniverse, faashiazzz, hore.steak, hmmpolines, mayangadt, zdnn_28, tr_agry, statistic.ly, aldikurniana, younice_30.png, lexarga.official, cheapdl.id, farrenn_, n.aufal, flutter.developers, fkhoirul26_, tokopma.bm, pranindiska, isnaaara_, tndon_id, meisyasinthya_, ukmdigitalmilenial, niasant__, khasiki_highendlaptop, dot.indonesia, mvptri, sanberstyle, nisaafrd_, miff.note, hmepolines, hmif_undip, xentronic, inalyst.id, stevanysm, willastudiocom, ferdiieggisptr09_, aironeslx.official, sunu_wibirama, wapalhi.semarang, yasminzzhr, tera_aghny, internationalofficepolines, arrus_muf, justfa2_, fisikayes, intechfest.cc, codinggoats, sekarbuket_bumiayu, hitographic.id, wijayaahmadd, codewithvin_, genshinbuildsguide, sheayuofc, ukmpp_polines, pesima_polines, keykraftkeycaps, meidavd, ivana.int7, itss.yoga, menwa.polines, snpmb.snbt, newplbsfm, dunia.programmer, srilestaririles_, vionaaastd, kucingmenangis, anbidev, nellyemilia_, sintadwj, celestia.guides, sevenmediatech, amelfzn, fahrizalzaputra, jim.ux, ruanganteknologi, m.azhar.alauddin, tasyaamhrn, afiiafy, mulmedpcc, camp404.id, redvelvetrvluvies, liquidgtx, marshaurellie, akmj.mp4, iffahdzakii, azkahima, yudhiver, csirt_pcr, sauqiil, an_syaif, sharetechpolines, 12303_mqa, fairytailofficial, sintaaip, winda.ariskaa, rickysa55, osgdmemes, crystalprocrp, bulann11_, marevcreative, intrvrt.me, putriyuln.__, serendipityrs, winahansss, warnapolines, uiuxsupply, ditaprtw27, vickyauliya, evde_paketleme_turkiye_, ardiansyah4414, insidecoding, sirli94, hackathon.bpjs_kesehatan, naufalcomics, dhiyaanp, wiktasari, arulrdhn, ayunovvv, mlbbpolines, dadalisnackofficial, fakta.redvelvetid, azulaww, ayomikir, yunitakusumaw, panji_ardians, widhastian, nuryusufa26, lidaazhari, gunawangintig21, nafiyahaz, fahrana_dina, developerslab, info3sma, event_jateng, jkt48_dcim, ali_syahbanaaa, msglowstore_smrg, fauzziana, miss_inyong, 1cak, oploverz_in, sugab.store31, alviandiii, arabellaz.co, drama.photoshop, timksnsmansabum, update.lomba, yaesgb_, byhanifkreatif_, sahabat_beasiswa, nursittarahmawati, polines.cantik, polines_mengabdi, azza.himmatul.7, laylaucca, ti_a_2020, bakpawwieee, ashluee_n_rnberger, mhmdnas1221, zarrazx, floandfrannkie_, inastek.id, ferliidr, mpitttttttt23, rahma.nur48, naufal___rf, prawira_agung7, nizzatul_ijabah"
2286735082,ranggasaputra4000,297,164,"marvelstudios, detikcom, nasro_768, adriantriputra_, xiaomi.indonesia, camera.setup, _ibrasuraya, kompastv, yuliyanti3726, pemburubeasiswa, masukkampus, utbk.masukkampus, info_beasiswa, jatismobileintern, najwashihab, myskill.id, gunturlaksonoputra, senatfikupnvj, ilmu_networking, venesia_widianty, skillacademy.id, m.hidayatullahh, sechanadyt_, fdhlchr_, rahmands30, bisa.ai, mobigraphers__, sepatucompass, riyadh.ah, pamangrab.tv, vivo_indonesia, rap017, magangjakarta.id, rrzhafari, uriptogelanson, perpusnas.go.id, magangupdate, dicoding, anakmagang.id, anakkuliah, revou_id, fthimah.azzhr, alvinputra_01, arvin_psy, azkuyyskrupp, robotikaupnvj, patholariz, fifi.rhz, infokuliah_, pacmannai, ai4impact.id, idvolunteering, faishalllllll_hf, oktafanisalsabila, ngertisaham, magangupdate.academy, edukasystem, daffaandika, zudhakmal, araf_iwahyuda23, raflidikapramudya, peopleattiket, lokermagang, syauqikhosyi, filetechno, loker.programmer, narasiodata, mpmupnvj, its_shaxx, wibisanaasudarto, pembuatansoftwaresurabaya, jozsiregar, pahamify, mulaicoding.id, internship.time, doktortjddi, infolomba.sch, djarumbeasiswaplus, androidupnvj, infolomba.est, campaign_id, infotembusptn, ragunanzoo, internship_ddbtelkom, yayasanlbhindonesia, taman_safari, nabilamwnd, bem_upnvj, llyssazzahra, dzulfikarnurfikri00, kylafood, vinamuliana, multimediaupnvj, magang_info, lifeatbri, academybinar, chaaa249, toeflclinic.id, beforv, safdhissss, bemfkipuns, cloudyml.akash, iftahridha, rafiqiyhy, magang.jakarta, codingstudio.id, miriya_1107, nikoputranto27, urwikachu, thisisiaaa, rumah_kepemimpinan, majalah_bobo, gudanglomba.ind, anisafdlh_27, aimerr25, verosajak, scholarship4us, andrew_yudha, nerrysupanji, kh_laks, era_yulvita, pkmcenterupnvj, codewithfaraz, elshad_ryan, sbmptn.id, fikramfahrurazi, silviardyani, bagussjwu, kakurief, ddodo_s, vidyaeko77, fikri_zakka, naainiarll, romeo_calisthenics, irwansight, pakbudiapp, hudaya07, hendradarwin, pathseeker.id, kiranimarssh_, jihankamilah0, fathmacita, rs.gpi, medialombaplus, kantorhrd, aliffqh, infomagang.co, teguhrzo, akbarpratamaputr, ziidaanzul, imaasyh_, justinbieshaar, indbeasiswa, mahmudahaulia, nailanlny, andysenjaya, rakhadp_, adhibuchori, brigifraya.all, idhamchalid0408, mikroptik_uns, deputi2kemenpora, browillytan, attarischa, cerebrum.id, multimedia.in.action, andirayunitha, rafiezarm, mpkosis97jkt, seminardotnet, gelarjepangui, upnveteranjakarta, mutiahasnh, nabil.hifzhan, vid.upnvj, bemfikupnvj, ree.ginaaa, pestasainsipb, muhmdronald, reginajosephinee, shandyluo, 412ief, quiniambarwati, naturaworldofficial.id, infoseminarworkshop.id, azmila._.21, mr_heryawan, elsyaannisaa, cde.upnvj, sartikaaliffia, artzspiration, rakaminacademy, sonia_nita, farhan_sukmana, _naturaworld_official, rasikh.h, irham_dhilonk, na.whore, niam_sholeh, irdanu_luthfi, yagitudaa, ai.creation.id, fasilkomupnvj, michaelwinailan, irhamraden.5, fifi_rhz, resumegalaxy, rakhadimas_, aliasamosir, fkbmik_upn, brahma_atm, priciniaa_, fikfair23, adenrahmandi, arfnzd, masukkeptn, dharanmahendra, rzkaadindaa, imconnectid, bdd.baparekraf, aurellie_cindy, chairr_me, bachanvidgram, cherynevr, seleksicpns.id, nasro_304, cyberupnvj, eventhunterindonesia, feboor_, infomagang.idn, seraphi_prasta, jsckez07, linimuda, ranioc, joshharatua, snpmb.snbt, uideckhq, matthewnahor, menfess.brigif, kerjaki_daeng, alfianpraa, magang_information, jagokarir.id, tryoututbk_cerebrum, mfdhllhakbr, startupweekend.jakarta, arsyfn_, bytesfest, neneng_suherti, recehh_club, allyssazr, ory.adifa, pkkmbupnvj, puska_fik_upnvj, vxcxrxsm, irfnsyhswly, raiss.design, dianuyu, vani_asadira, pricihuyyy, waroeng_mama_aa, naturaworld.subang, ci.cakterbang, edushipforum, sunset97jkt, ltmptofficial, tekoteki.teacoffee, maestroofwar, raihankp, yulvitaera, f.brokee, studiakuntansiindonesia, virtuinvesting, karuga.shinji, patriberaoncam, mpkosis97, skincare.official.id, fucekkkyouu, ikatik.upnvj, instaneducation, kang_dagang_97, donilr_1, alumniosisindonesia, natura.withheny, joinaoi.id, rickoalpdr, naufal_musyafa02, sociopreneurindonesia, ayoebyaspis, shafirahendi07, dea_nurhasanah, brigif.cakep, irrixk7, ketoprak99, ihsanragilprs, phebot16, nuerrenung"
44378210506,googleindonesia,10,123697,"googleuk, googleartsculture, googlearabia, womenwill, googlemaps, lifeatgoogle, googleplay, googlepay, googleindia, google"
8536113897,googleindia,17,923570,"twinklerkhanna, vickykaushal09, googleworkspace, youtubemusic, youtubecreatorsindia, youtubeindia, googlecloud, sundarpichai, android, googleartsculture, googlelocalguides, madebygoogle, lifeatgoogle, googlemaps, googlepixel, youtube, google"
7140177628,jennierubyjane,0,74728090,
3514890218,marvelstudios,88,38438210,"zendaya, marvellatam, gingerthejester, jameelajamil, tim_roth__, reneeelisegoldsberry, brandon__stanley, secretinvasion, shehulkofficial, monsieur_djibsons, msmarvelofficial, chloezhao, angelinajolie, otfagbenle, haileesteinfeld, whatif, officialloki, itssophiadimartino, everanderson, emilyvancamp, thedanielbruhl, anthonymackie, falconandwintersoldier, wandavision, black.widow, disneyplus, natalieportman, jonfavreau, wongrel, jakegyllenhaal, gemmachan, lashanalynch, captainmarvelofficial, hannahjohnkamen, joshbrolin, therealruthecarter, marisatomei, wellhayley, doncheadle, letitiawright, disneymovieinsiders, guardiansofthegalaxy, blackpanther, avengers, j.dunn28, im.angelabassett, evangelinelillyofficial, davidhasselhoff, winstoncduke, mrpeytonreed, therealstanlee, ryan_meinerding_art, fandango, reald3d, jeffgoldblum, jnwtts, twhiddleston, tessamaethompson, taikawaititi, katdenningsss, idriselba, michael_rooker, tonyrevolori, lifeisaloha, pom.klementieff, vindiesel, clarkgregg, jamesgunn, paulbettany, therussobrothers, tomholland2013, samuelljackson, imsebastianstan, jeremyrenner, chrishemsworth, markruffalo, robertdowneyjr, prattprattpratt, davebautista, chadwickboseman, michaelbjordan, karengillan, zoesaldana, danaigurira, lauraharrier, brielarson, lupitanyongo, marvel"
1443380468,twinklerkhanna,139,7106115,"whowhatwear, murugaofficial, mindful_madre, thepalmtreekidd, herstoryjewels, priyankagill_official, googleindia, bettinavonhase, madelinedonahue, chimamanda_adichie, haseenajethmalani, redsphotographybybeenish, friezeofficial, melenibharwani, goldsmithsuol, fayedsouza, gpkritikos, agracadabra, atulkasbekar, you_had_me_at_pizzax, tiscaofficial, dailystylematters, thelifewithlabradors, eghadimi, manishmalhotra05, dabbooratnani, malala, nymag, nytimes, newyorkercartoons, newyorkermag, washingtonpost, tasteinhotels, jonathanadler, lamaisonpierrefrey, aslisona, nandanitasha, nanditamahtani, gaurikhan, iamsaradewan, annabelmakan, hingoprat, _project.ira_, hrithikroshan, dr.drashnikapatel, katrinakaif, chikisarkar, simarbhatia18, artchivesindia, taniadeol, anusuya12, malasamttani, pinterestindia, deepshikhadeshmukh, alka_bhatia, mbhupathi, iamhumaq, chadcroweillustration, lailabijlani, karanjohar, hoezaay, deepakugra, theinclusivebutterfly, shikhardofficial, balanvidya, tweakindia, karishmamangabedi, shefalishahofficial, rochelle.pinto, gurleenmpuri, priya_tanna, jaydeepbhuta, inspire_zu, sonamkapoor, namratashirodkar, suzkr, ranveersingh, amuaroraofficial, tanya_deol, smritiiraniofficial, natasupernova, homster, prernastylefile, tahirakashyap, anujasani, supernamotwane, iamsonalibendre, saritatanwar2707, sikandarkher, pinkyreddyofficial, anna.vivante, kjgreenway, priyankakapur, diviathani, gattukapoor, iambobbydeol, farahkhanali, mickeycontractor, srishtibehlarya, deepshikhakhanna, thefarawaytreeindia, anudewan5, gurleen_raheja, philipsinden, rohan.lulla, binduoberoi, annawithlove, malaikaaroraofficial, abujanisandeepkhosla, sandeepkhosla, krsnaamehta, indiahicksstyle, akshaykumar, puppypanda, gayatrioberoi, oliviapalermo, ssm_99, habituallychic, archdigest, kellywearstler, 1stdibs, ssaran05, champagneboy75, dominomag, apartmenttherapy, karankapadiaofficial, saudamini08, tanuj.garg, coveteur, harshakilachand, sharmillakhanna, anaitashroffadajania, bindya_lulla, rinkston, naomika14, interiordesignideas, vogueindia, verveindia, bindyany"
4775555891,googlearabia,15,145542,"unhcr_arabic, unicef_mena, unwomenarabic, susanwojcicki, youtube, sundarpichai, googlelocalguides, googleartsculture, googleplay, googledevs, googlestudents, googlemaps, madebygoogle, lifeatgoogle, google"
